	c1	c2	
r1	         0	         0	
r2	 .28451618	 .06720284	
r3	 .28687789	 .06779506	
r4	 .18750892	  .0671797	
r5	  .1965913	 .06771802	
r6	 .25316599	 .06852864	
r7	 .28243526	 .06757341	
r8	 .34397257	 .06756623	
r9	 .25474763	 .06633985	
r10	 .22673017	 .06788158	
r11	 .28514382	 .06636108	
r12	 .05436938	 .06888471	
r13	 .26324299	 .06787377	
r14	 .33456361	 .06667336	
r15	 .26360946	 .06832062	
r16	 .35379307	 .06729293	
r17	 .26922782	 .06767257	
r18	 .19409072	  .0674439	
r19	  .1612596	 .06756636	
r20	 .31170337	 .06790233	
r21	 .30671247	 .06632647	
r22	 .30852192	 .06692494	
r23	 .26724653	 .06889213	
r24	  .3320026	 .06822658	
r25	 .17724104	 .06832115	
r26	 .22396898	 .06684708	
r27	 .28195966	 .06744515	
r28	 .30552336	 .06817873	
r29	 .38826278	 .06736042	
r30	 .25740342	 .06680643	
r31	 .28351153	 .06784214	
r32	   .278714	 .06743873	
r33	 .28820215	 .06722622	
r34	 .19211308	 .06802822	
r35	  .3089531	 .06837456	
r36	 .25805654	 .06717526	
r37	 .26254062	 .06713177	
r38	 .28595273	 .06723996	
r39	 .23230946	 .06813608	
r40	 .25340886	 .06757502	
r41	 .00075387	 .06814227	
r42	 .21202929	  .0674109	
r43	  .1682255	 .06816976	
r44	 .19643058	 .06761792	
r45	 .28200339	 .06743939	
r46	 .16312731	  .0679639	
r47	 .44538817	 .06762595	
r48	 .30803736	 .06740584	
r49	 .20607669	 .06769229	
r50	 .23774801	  .0677964	
r51	 .27806337	 .06844781	
