	c1	c2	
r1	         0	         0	
r2	  .1812284	 .07489218	
r3	 .19501014	 .06986198	
r4	 .15446861	 .06938355	
r5	 .36009353	 .07121522	
r6	 .27460984	 .07434681	
r7	 .26941891	  .0704241	
r8	 .38252183	 .06929741	
r9	 .21052962	 .07081587	
r10	 .22134929	  .0692581	
r11	 .36135158	 .06836458	
r12	 .20684144	 .07070233	
r13	  .1622977	 .07435534	
r14	 .20378259	 .06910891	
r15	 .35205724	 .06750387	
r16	 .26975882	 .06854234	
r17	  .2977623	 .07141479	
r18	 .19720025	 .07077864	
r19	 .27593574	 .07324939	
r20	  .1685242	 .07141918	
r21	 .37691909	 .06926935	
r22	 .34214534	  .0730564	
r23	 .19356265	 .07272179	
r24	 .36984612	 .07309411	
r25	 .30091658	 .07160976	
r26	 .25526534	 .07215502	
r27	 .11766591	 .07198601	
r28	 .19729488	 .07228939	
r29	 .34517095	 .06868299	
r30	  .2987722	 .07298845	
r31	 .19618512	 .07204155	
r32	 .21444951	 .07434313	
r33	  .2179116	 .07011942	
r34	 .26975358	 .07508114	
r35	 .23364544	 .06815218	
r36	 .32327754	 .06940788	
r37	 .23907975	 .07377532	
r38	  .2216814	 .06888526	
r39	 .11216552	 .06913248	
r40	 .22901569	 .07294917	
r41	 .13652808	 .07467118	
r42	 .24247194	 .06959035	
r43	  .2771551	  .0696207	
r44	 .22903591	 .07187791	
r45	 .17008372	 .07040257	
r46	 .06358085	 .07002858	
r47	 .25287098	 .07047111	
r48	 .30487362	 .07153274	
r49	 .27422235	 .06897353	
r50	 .27551471	 .07024366	
r51	 .20403884	 .07080293	
