	c1	c2	
r1	         0	         0	
r2	 .33391205	 .07241424	
r3	 .26623791	  .0697961	
r4	 .17347342	 .07102889	
r5	 .22433397	  .0707855	
r6	 .29485072	 .07196146	
r7	 .28624013	 .07146343	
r8	 .31611121	  .0708546	
r9	 .30322864	 .07265102	
r10	  .2308216	 .07243093	
r11	 .24464996	 .07138275	
r12	 .09574466	 .07243606	
r13	 .27205625	 .07225874	
r14	 .35809728	 .07323919	
r15	 .22535189	 .07097956	
r16	 .36864996	 .07019126	
r17	 .25492116	 .07180862	
r18	 .21080775	 .07429895	
r19	 .16844381	 .07071835	
r20	  .2595733	 .07339056	
r21	 .32131682	 .06803106	
r22	 .28446293	 .07028664	
r23	 .26251995	 .07423777	
r24	  .3603434	 .07325069	
r25	 .17587122	 .07165605	
r26	 .20524641	 .07124414	
r27	 .30997166	 .07006879	
r28	 .27539603	  .0733407	
r29	 .40861975	 .07090825	
r30	 .25807746	 .07200286	
r31	 .26290735	 .07028698	
r32	 .24252368	 .06860305	
r33	 .27516414	 .06986901	
r34	 .16539929	 .07096263	
r35	 .32863094	  .0716499	
r36	 .26652209	 .07220796	
r37	 .23636455	 .06974207	
r38	 .26986455	  .0691112	
r39	 .26731517	 .07226216	
r40	 .23472082	  .0735036	
r41	-.01747649	 .07029444	
r42	 .22189629	 .06953129	
r43	 .19398784	 .07198083	
r44	 .19032973	 .06836462	
r45	  .2805852	 .06946377	
r46	 .20058149	 .07066589	
r47	 .44768462	 .07367109	
r48	 .33665205	 .07246778	
r49	 .19395566	 .07606202	
r50	 .19993585	  .0795107	
r51	 .29548148	 .07291539	
