	c1	c2	
r1	         0	         0	
r2	 .29634021	 .06632584	
r3	 .30746618	 .07160967	
r4	 .15535904	 .06826041	
r5	 .22266347	  .0707897	
r6	 .28973817	 .06781321	
r7	 .23596336	 .06895161	
r8	  .3273035	 .06556145	
r9	 .18989779	 .07017786	
r10	 .19641268	 .07401098	
r11	 .26235355	 .07030974	
r12	 .03720632	 .07050784	
r13	 .31707063	 .06732679	
r14	 .32823388	 .07095012	
r15	 .29168151	 .06738486	
r16	 .30202671	 .06887229	
r17	   .265692	 .07402144	
r18	 .22502091	  .0676293	
r19	 .15674979	 .07028151	
r20	 .30007876	 .06910691	
r21	 .30820365	  .0664757	
r22	 .29461278	  .0701592	
r23	 .24832181	 .07073864	
r24	 .31829077	 .07150828	
r25	 .17679041	  .0688196	
r26	 .18351777	 .06516457	
r27	  .2519856	 .07140267	
r28	 .24120554	 .06363379	
r29	 .41687524	 .07008705	
r30	 .21585647	 .07096436	
r31	 .29635682	 .06912948	
r32	 .27639816	 .07281341	
r33	 .29851142	 .06716555	
r34	 .19165634	 .07028736	
r35	 .30301031	 .06932832	
r36	 .27889681	 .06736932	
r37	 .27474153	 .06900163	
r38	 .29899745	 .07349187	
r39	  .2190445	 .06695218	
r40	 .25999007	 .07355369	
r41	-.01525493	 .07172168	
r42	 .20270947	 .07336109	
r43	  .1333821	 .07087145	
r44	 .19125027	 .06748503	
r45	 .26742835	 .07120955	
r46	 .16903829	 .06865768	
r47	 .44429989	  .0687111	
r48	 .27324484	 .06914643	
r49	 .21381008	 .07028205	
r50	 .24262514	  .0682099	
r51	 .27371471	 .06644296	
