	c1	c2	
r1	         0	         0	
r2	 .29290913	 .07062562	
r3	 .29164967	 .06618597	
r4	 .16392659	 .07043801	
r5	 .20978101	  .0749325	
r6	 .30421613	 .07003669	
r7	 .23745389	 .07073244	
r8	 .32374154	 .06635888	
r9	 .18398248	 .06932329	
r10	 .19563314	 .06970857	
r11	 .26551941	 .07401021	
r12	 .01671845	 .06935244	
r13	 .32370855	 .06923466	
r14	 .33200718	 .07271774	
r15	 .30484398	 .06879691	
r16	 .30129309	 .06879284	
r17	 .25002251	 .07156309	
r18	 .22393917	 .06822007	
r19	 .16221513	 .06883042	
r20	  .2962622	 .06816665	
r21	  .3323348	  .0694757	
r22	 .30614166	 .06974711	
r23	 .26240779	 .06739003	
r24	 .30367431	 .07614233	
r25	 .17366833	  .0730195	
r26	 .17875017	 .06384133	
r27	 .28198426	 .07074121	
r28	 .26301784	 .06278466	
r29	 .39570753	 .06839835	
r30	 .19846393	 .06973393	
r31	 .28957942	  .0717052	
r32	 .28389718	 .07166765	
r33	 .29527486	 .06883719	
r34	 .20220362	  .0720776	
r35	 .29008416	 .07101866	
r36	 .28022733	 .07177253	
r37	 .26460209	 .07095324	
r38	 .30137326	 .07133684	
r39	 .22502732	 .06492232	
r40	 .25761597	  .0725469	
r41	-.01221787	 .07603009	
r42	 .20338455	 .06846851	
r43	  .1233742	 .06942611	
r44	 .18599968	  .0677612	
r45	 .25842624	 .06876523	
r46	 .16388993	    .07409	
r47	 .43884545	 .07021851	
r48	 .26479601	  .0768323	
r49	 .20798793	 .07301701	
r50	  .2355892	 .07108005	
r51	 .29194338	 .07036854	
